Segment Name,Transcript
segment_002.wav,TOWER HELLO EMIRATES FIVE TWO ONE
segment_003.wav,EMIRATES FIVE TWO ONE DUBAI TOWER GOOD AFTERNOON ONE TWO LEFT CONTINUE APPROACH PLAN TO VACATE AT MIKE NINER
segment_004.wav,CONTINUE PLANNING MIKE NINER EMIRATES FIVE TWO ONE
segment_005.wav,CLEARED TO LAND RUNWAY ONE TWO LEFT THE WIND ONE ZERO ZERO DEGREES ONE ONE KNOTS
segment_006.wav,CLEARED TO LAND ONE TWO LEFT EMIRATES FIVE TWO ONE
segment_007.wav,TOWER HELLO EMIRATES FIVE SIX FIVE WITH YOU SIX MILES
segment_008.wav,FIVE SIX FIVE TOWER GOOD AFTERNOON ONE TWO LEFT CONTINUE APPROACH PLAN TO VACATE MIKE NINER
segment_009.wav,MIKE NINER FIVE SIX FIVE
segment_010.wav,FIVE TWO ONE CONTINUE STRAIGHT CLIMB TO FOUR ZERO ZERO ZERO FEET
segment_011.wav,STRAIGHT AHEAD TO FOUR ZERO ZERO ZERO EMIRATES FIVE TWO ONE
segment_012.wav,DID YOU SEE THAT
segment_013.wav,EMIRATES FIVE SIX FIVE GO AROUND I REPEAT GO AROUND CONTINUE STRAIGHT TO FOUR ZERO ZERO ZERO
segment_014.wav,GO AROUND EMIRATES FIVE SIX FIVE
segment_015.wav,OKAY YOU NEED TO CHECK THAT AT THE END OF ONE TWO LEFT
segment_016.wav,ALRIGHT GOT IT
segment_017.wav,EMIRATES FIVE TWO ONE CRASH VEHICLES PROCEEDING NOW TO YOUR SCENE
segment_018.wav,SKY DUBAI EIGHT FIVE SEVEN
segment_019.wav,OKAY HOLDING AT SKY DUBAI EIGHT FIVE SEVEN
segment_020.wav,EMIRATES FIVE SIX FIVE CONTINUE STRAIGHT AHEAD AND FOUR ZERO ZERO ZERO FEET
segment_021.wav,GOING STRAIGHT AHEAD PASSING ONE TWO CLIMBING FOUR ZERO ZERO ZERO FEET EMIRATES FIVE SIX FIVE
segment_022.wav,FIVE SIX FIVE CONTACT RADAR ON ONE TWO SIX TWO
segment_023.wav,ONE TWO SIX TWO EMIRATES FIVE SIX FIVE
segment_024.wav,EMIRATES FIVE TWO ONE DO YOU REQUIRE ANY FURTHER ASSISTANCE FROM TOWER SIR
segment_025.wav,EMIRATES FIVE TWO ONE THAT IS FINE GET OUT OF THERE
segment_026.wav,ALL STATIONS ON DELIVERY FREQUENCY I NEED RADIO SILENCE FOR NOW RADIO SILENCE FOR THE NEXT ONE ZERO MINUTES AND I LL CALL YOU BACK
segment_027.wav,FIRE TWO PROCEED TO THE RUNWAY ONE TWO LEFT
segment_028.wav,PROCEED RUNWAY ONE TWO LEFT PROCEED RUNWAY ONE TWO LEFT PROCEED TO THE AIRCRAFT
segment_029.wav,FIRE ONE PROCEED RUNWAY ONE TWO LEFT PROCEED TO THE AIRCRAFT FOR FIRE ONE PROCEED TO THE AIRCRAFT
segment_030.wav,DUBAI SKY DUBAI EIGHT FOUR EIGHT WE LL BE MAINTAINING RUNWAY HEADING AFTER OVERHEAD JUST FOR YOUR INFORMATION
segment_031.wav,ALL FIRE VEHICLES PROCEED TO THE AIRCRAFT PROCEED TO THE RUNWAY PROCEED TO THE AIRCRAFT
segment_032.wav,FIRE ONE SEVEN PROCEED TO THE AIRCRAFT ON ONE TWO LEFT
segment_033.wav,DUBAI SKY DUBAI EIGHT FOUR EIGHT SORRY FOR INSISTING BUT IF YOU TELL US WHAT THE PLAN IS WITH US SO WE MIGHT DECIDE TO DIVERT RIGHT AWAY TO AL MAKTOUM
segment_034.wav,ALL FIRE VEHICLES PROCEED TO THE AIRCRAFT I REPEAT PROCEED ON ALL TAXIWAYS TO THE AIRCRAFT
segment_035.wav,FIRE FIVE VIA KILO SIX CROSS RUNWAY ONE TWO RIGHT PROCEED TO THE AIRCRAFT ON ONE TWO LEFT
segment_036.wav,ALL THE VEHICLES PROCEED RUNWAY ONE TWO LEFT PROCEED TO THE AIRCRAFT RUNWAY IS CLOSED
segment_037.wav,DUBAI SKY DUBAI EIGHT FOUR EIGHT ON RUNWAY HEADING OUR HOLDING CAPABILITY NOW IS REDUCED TO SEVEN MINUTES PLEASE
segment_038.wav,FOUR SIX SEVEN DELAY NOT DETERMINED
segment_039.wav,DUBAI SKY DUBAI EIGHT FOUR EIGHT IF THERE S NO PLAN FOR US WE D LIKE TO DIVERT TO AL MAKTOUM AS WELL DUE TO FUEL
segment_040.wav,SKY DUBAI FOUR THREE SEVEN
segment_041.wav,GO FOUR THREE SEVEN
segment_042.wav,FOR INFORMATION WE D LIKE TO START ONE ENGINE
segment_043.wav,I WOULDN T RECOMMEND THAT SINCE DELAY IS NOT DETERMINED DO NOT THINK IT WILL GET RESOLVED I LL CALL YOU BACK
segment_044.wav,OKAY
segment_045.wav,DUBAI SYRIAN AIR FIVE ONE FIVE WE CAN HOLD FOR FOUR ZERO MINUTES OTHERWISE PROCEEDING TO ALTERNATE
segment_046.wav,I LET YOU KNOW DELAY NOT DETERMINED INCIDENT ON THE AIRFIELD I LL CALL YOU BACK
segment_047.wav,OKAY WE CAN LAND AT RAS AL KHAIMAH SYRIAN AIR FIVE ONE FIVE
segment_048.wav,ZERO SIX ZERO ROGER HOLD YOUR POSITION UNDETERMINED DELAY WE HAD AN INCIDENT ON THE AIRFIELD AND AT THIS STAGE I HAVE NO ADDITIONAL INFORMATION BUT THE AIRPORT THE AIRFIELD IS TEMPORARILY CLOSED
segment_049.wav,WE CAN HOLD FOUR ZERO MINUTES SYRIAN AIR FIVE ONE FIVE
segment_050.wav,FDBSEVEN THREE ONE
segment_051.wav,SKY DUBAI SEVEN THREE ONE
segment_052.wav,FDBSEVEN THREE ONE
segment_053.wav,NO NOBODY IS MOVING ANYWHERE AT THIS STAGE UNDETERMINED DELAY THE AIRFIELD IS UNDER CONTROL OF FIRE SERVICES
segment_054.wav,FDBSEVEN THREE ONE
segment_055.wav,OKAY CAN WE LAND AT SHARJAH AIRPORT PLEASE
segment_056.wav,ROGER LEFT HEADING ZERO THREE ZERO AND EXPECT SHARJAH SYRIAN AIR FIVE ONE FIVE
segment_057.wav,JORDANIAN SIX ONE ONE
segment_058.wav,JORDANIAN SIX ONE ONE
segment_059.wav,YES SIR ANY DELAY FOR PUSHBACK OR START UP
segment_060.wav,JORDANIAN SIX ONE ONE AFFIRMATIVE THERE IS UNDETERMINED DELAY AT THIS POINT FOR THE AIRFIELD I VE NO FURTHER INFORMATION GIVEN I LL CALL YOU BACK WHEN IT IS BACK POSSIBLE IT COULD BE A FEW MINUTES TO GET AN ANSWER
segment_061.wav,THANK YOU VERY MUCH WE ARE ON CFIVE FIVE RIGHT AND WE ARE READY FOR THE PUSHBACK
segment_062.wav,UNDERSTOOD
